Exit,Exit the game
Level1,Apartment
Level2,Cottage
Level3,House
Level4,Mansion
Level5,Manor
Fame,Fame
Money,Money
PlayCard,Play this card
GameEnded,Game has ended.
SelectOption,Select an option.
InspectPile,Inspect the Streets.
Draw,Draw and end your turn
CannotDraw,End your turn
SelectCard,Select this card
SelectTier,Select tier NUMBER
CancelPending,Don't play this card
Bankrupt,Go bankrupt
Concede,Concede the game
Info,Info
StopWatch,Stop watching
OnlineConcede,PLAYERNAME conceded and left the game.
OnlineStopWatch,PLAYERNAME stopped watching and left the game.
OnlinePlayerDisconnected,SOURCEPLAYER has disconnected.
SelectPrerequisite,Select target card.
Yes,Yes
No,No
DeckNumber,Deck #
Play,Play
CanWinNewCard,Your opponent has this card you can win:
WonNewCard,You've reached 100 Fame and won this card:
NoValidDeckFound,PLAYERNAME's deck isn't valid.  Using the default deck instead.
SelectDeck,Select the deck to play with.
WaitingSelectDeck,Waiting for deck selection.
UsingDeck,PLAYERNAME's deck is selected.
ConfirmBankrupt,Go bankrupt and start a fresh new club?
ConfirmConcede,Do you really want to concede this game?
ConfirmExit,Do you want to stop watching this game?
WentBankrupt,SOURCEPLAYER went bankrupt and started a new club.
VictoryForPlayer,Congratulations!  You've reached 100 Fame and won the game.
VictoryForAI,Your opponent reached 100 Fame and won the game.
VictoryOnline,PLAYERNAME reached 100 Fame and won the game.
VictoryForConcedePlayer,OPPONENTPLAYER conceded the game. You win.
VictoryForConcede,OPPONENTPLAYER conceded the game. PLAYERNAME wins the game.
Return,End the game
OpponentPlaying,Your opponent is playing...
WatchingGame,Watching the game...
PlayACard,PLAYERNAME plays CARDNAME.
PlayACardOpponentBoard,PLAYERNAME plays CARDNAME on the opponent's board.
PlayAnotherCard,PLAYERNAME can play another card.  The turn continues.
StartPlayer,You've been chosen to start the game.  Select a card to play or end your turn by drawing.
StartOpponent,Your opponent has been chosen to start the game.  Please wait for her move.
StartOnline,PLAYERNAME has been selected to start.  Both players must pick a deck.
StartTurnLogChat,Turn TURNNUMBER - PLAYERNAME
EndTurnPlayer,"SOURCEPLAYER FAMELABEL, MONEYLABEL."
EndDrawPlayer,"SOURCEPLAYER draws a card. FAMELABEL, MONEYLABEL."
UpgradeToLevel2,Get Cottage (MONEYAMOUNT)
UpgradeToLevel3,Get House (MONEYAMOUNT)
UpgradeToLevel4,Get Mansion (MONEYAMOUNT)
UpgradeToLevel5,Get Manor (MONEYAMOUNT)
UpgradedToLevel2,PLAYERNAME upgraded to Cottage for MONEYLABEL.
UpgradedToLevel3,PLAYERNAME upgraded to House for MONEYLABEL.
UpgradedToLevel4,PLAYERNAME upgraded to Mansion for MONEYLABEL.
UpgradedToLevel5,PLAYERNAME upgraded to Manor for MONEYLABEL.
GainFame,SOURCEPLAYER gained FAMELABEL from CARDNAME.
GainMoney,SOURCEPLAYER gained MONEYLABEL from CARDNAME.
GainFameMoney,SOURCEPLAYER gained FAMELABEL and MONEYLABEL from CARDNAME.
LoseFame,SOURCEPLAYER lost FAMELABEL.
LoseMoney,SOURCEPLAYER lost MONEYLABEL.
StealFame,SOURCEPLAYER stole FAMELABEL from OPPONENTPLAYER.
StealMoney,SOURCEPLAYER stole MONEYLABEL from OPPONENTPLAYER.
StealFameMoney,SOURCEPLAYER stole FAMELABEL and MONEYLABEL from OPPONENTPLAYER.
MemberLeaveClub,CARDNAME leaves SOURCEPLAYER's club.
EventRemoved,CARDNAME event is removed.
EventExpired,CARDNAME event has expired.
SelectedPlayerToStart,PLAYERNAME has been selected randomly to start the game.
JoinedClubCardGame,PLAYERNAME has joined the Club Card game.
PlayerMessage,PLAYERNAME: MSG
ChatHere,Chat here...
GroupLiability,Liability
GroupStaff,Staff
GroupPolice,Police
GroupCriminal,Criminal
GroupFetishist,Fetishist
GroupPornActress,Porn Actress
GroupMaid,Maid
GroupAsylumPatient,Asylum Patient
GroupAsylumNurse,Asylum Nurse
GroupDominant,Dominant
GroupMistress,Mistress
GroupABDLBaby,ABDL Baby
GroupABDLMommy,ABDL Mommy
GroupCollegeStudent,College Student
GroupCollegeTeacher,College Teacher
GroupPlayer,Online Player
GroupShibari,Shibari
GroupExhibitionist,Exhibitionist
Title Kinky Neighbor,Kinky Neighbor
Text Kinky Neighbor,+2 Money/turn if there's a Cute Girl Next Door ally.
Title Cute Girl Next Door,Cute Girl Next Door
Text Cute Girl Next Door,<F>The neighborhood is getting better everyday.
Title Voyeur,Voyeur
Text Voyeur,"+1 Money/turn per 2 Exhibitionists visible (max +3). +2 Fame/turn if there's 10+ Exhibitionists visible"
Title Nudist,Nudist
Text Nudist,<F>We prefer the term naturist.
Title Party Animal,Party Animal
Text Party Animal,<F>The best plans always begin by: Hold my beer.
Title Auctioneer,Auctioneer
Text Auctioneer,Double bonuses of Auctions.
Title Uptown Girl,Uptown Girl
Text Uptown Girl,<F>She's been living in her white bread world.
Title Tourist,Tourist
Text Tourist,<F>I'll need a vacation from my vacation.
Title Diplomat,Diplomat
Text Diplomat,<F>Business or leisure?  Pain and pleasure.
Title Gambler,Gambler
Text Gambler,"Turn End (50% chance): +1 Money."
Title Red Twin,Red Twin
Text Red Twin,<F>We don't share minds but can share orgasms.
Title Blue Twin,Blue Twin
Text Blue Twin,+1 Fame/turn if there's a Red Twin ally.
Title Rope Bunny,Rope Bunny
Text Rope Bunny,+2 Money/turn if there's a Dominant ally.
Title Shy Submissive,Shy Submissive
Text Shy Submissive,Turn Start: Leaves if there's 6+ allies.
Title Rope Sensei,Rope Sensei
Text Rope Sensei,<F>ロープを尊重する
Title LARP Queen,LARP Queen
Text LARP Queen,"<F>For my next quest, I need enchanted ropes, love potions and a cursed chastity belt."
Title Local Influencer,Local Influencer
Text Local Influencer,Enters: -4 Money and draw a card.
Title Wannabe Princess,Wannabe Princess
Text Wannabe Princess,"+2 Fame/turn at tier 5."
Title Waitress,Waitress
Text Waitress,+1 Money/turn if there's a Party Animal ally. +1 Money/turn if there's a Tourist ally.
Title Bouncer,Bouncer
Text Bouncer,<F>Your ass will bounce on the street if you make me mad.
Title Accountant,Accountant
Text Accountant,"+1 Money/turn at tier 3+. +1 Money/turn at tier 5."
Title Secretary,Secretary
Text Secretary,Your Timed Events last 1 more turn.
Title Associate,Associate
Text Associate,+1 action each turn.
Title Human Resource,Human Resource
Text Human Resource,Draw Action: Draw an extra card.
Title Policewoman,Policewoman
Text Policewoman,<F>I took the job for the free handcuffs.
Title Pusher,Pusher
Text Pusher,"+1 Money/turn if there's a Sidney ally. Turn End: Leaves if there's a Police ally."
Title Junkie,Junkie
Text Junkie,"+2 Money/turn if there's a Pusher ally. Turn End: Leaves if there's a Police ally."
Title Zealous Cop,Zealous Cop
Text Zealous Cop,"<F>Rules are rules, and I'll make sure they will be followed."
Title Gangster,Gangster
Text Gangster,"+1 Money/turn per other Criminal ally (max +5). Turn End: Leaves if there's a Police ally."
Title Paroled Thief,Paroled Thief
Text Paroled Thief,"Turn End: Opponent steals 1 Money if there's no Police ally."
Title Police Cadet,Police Cadet
Text Police Cadet,<F>Hey!  Give me back my keys!
Title Stepmother,Stepmother
Text Stepmother,"-Fame +Money Ally Enters: Steal Fame equal to their Money. Enters: +1 Fame per -Fame ally."
Title Sheriff,Sheriff
Text Sheriff,Enters: Draw 2 cards.
Title Maid Lover,Maid Lover
Text Maid Lover,"+1 Money/turn per Maid ally (max +3). +2 Fame/turn and -2 Money/turn if there's a tier 4+ Maid ally."
Title Diaper Lover,Diaper Lover
Text Diaper Lover,"+1 Money/turn per Baby ally (max +3). Baby Ally Enters: Draw a card if there's 3+ other Baby allies."
Title Masochist,Masochist
Text Masochist,"+1 Fame/turn and +1 Money/turn if there's a Dominant ally. You Discard A Card: +1 Money."
Title Feet Worshiper,Feet Worshiper
Text Feet Worshiper,+2 Money/turn if there's a Porn Actress or Mommy ally.
Title Fin-Dom Simp,Fin-Dom Simp
Text Fin-Dom Simp,"+Money/turn equal to the highest tier among Dominant allies. Enters: +3 Money."
Title Fin-Dom Whale,Fin-Dom Whale
Text Fin-Dom Whale,+2 Money/turn per Mistress ally. Enters: Draw a card.
Title Porn Addict,Porn Addict
Text Porn Addict,+1 Money/turn per Porn Member ally (max +2).
Title Porn Amateur,Porn Amateur
Text Porn Amateur,<F>I'll be the next Marylin Cumroe.
Title Porn Movie Director,Porn Movie Director
Text Porn Movie Director,"+1 Fame/turn and +1 Money/turn per Porn Actress ally (max +4 each)."
Title Porn Lesbian,Porn Lesbian
Text Porn Lesbian,+1 Fame/turn if there's a Fetishist ally. +2 Money/turn if there's another Porn Actress ally.
Title Porn Veteran,Porn Veteran
Text Porn Veteran,Enters: +3 Fame and Money.
Title Porn Star,Porn Star
Text Porn Star,Enters: +5 Fame and Money.
Title Cam Girl,Cam Girl
Text Cam Girl,Enters: Draw a card.
Title Rookie Maid,Rookie Maid
Text Rookie Maid,<F>I can't wait for the sorority initiation.
Title Coat Check Maid,Coat Check Maid
Text Coat Check Maid,<F>Do not lose your receipt ticket.
Title Regular Maid,Regular Maid
Text Regular Maid,<F>Should I refresh your drink Miss?
Title French Maid,French Maid
Text French Maid,<F>Pour un service impeccable et coquin.
Title Head Maid,Head Maid
Text Head Maid,+1 Fame/turn per other Maid ally (max +6).
Title Confused Maid,Confused Maid
Text Confused Maid,<F>I've tried three dusters but this toilet is still clogged.
Title Curious Patient,Curious Patient
Text Curious Patient,<F>Why are the walls padded?
Title Part-Time Patient,Part-Time Patient
Text Part-Time Patient,Draw Action: +1 Fame and -1 Money.
Title Novice Nurse,Novice Nurse
Text Novice Nurse,+1 Fame/turn per Patient ally (max +3).
Title Commited Patient,Commited Patient
Text Commited Patient,<F>My jacket is never tight enough.
